Holdings details

FTSE Emerging Markets ETF (VWO)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BT9QPW8,Contemporary Amperex Technology Co Ltd,3750,0.13%,Electrical Components & Equipment,HK,---,"$226,016,136.91","2,972,360"
,BG36ZK1,B3 SA - Brasil Bolsa Balcao,B3SA3,0.13%,Financial Exchanges & Data,BR,---,"$223,118,917.95","71,276,315"
,B00FM53,BANCO BRADESCO SA-PREF,BBDC4,0.13%,Diversified Banks,BR,---,"$222,759,764.42","67,146,065"
,B0GWF48,Hindalco Industries Ltd,HNDL,0.13%,Aluminum,IN,---,"$222,148,579.95","20,839,785"
,BL6P210,Eternal Ltd,ETERNAL,0.13%,Restaurants,IN,---,"$221,563,307.36","64,400,338"
,BPQWCZ3,Tata Steel Ltd,TATA,0.12%,Steel,IN,---,"$219,967,498.47","113,809,460"
,BF1THH6,Bharat Electronics Ltd,BHE,0.12%,Aerospace & Defense,IN,---,"$219,678,237.32","50,509,100"
,6455819,International Container Terminal Services Inc,ICT,0.12%,Marine Ports & Services,PH,---,"$218,736,563.60","15,423,821"
,B056381,Global Unichip Corp,3443,0.12%,Semiconductors,TW,---,"$217,750,456.01","1,133,569"
,BD0BDJ3,PTT PCL/FOREIGN,PTT/F,0.12%,Integrated Oil & Gas,TH,---,"$212,125,413.76","172,692,415"
,6706250,PICC Property & Casualty Co Ltd,2328,0.12%,Property & Casualty Insurance,HK,---,"$211,890,674.12","97,828,207"
,B01GZF6,UltraTech Cement Ltd,UTCEM,0.12%,Construction Materials,IN,---,"$209,651,807.76","1,745,667"
,B28PFX8,Emirates NBD Bank PJSC,EMIRATES,0.12%,Diversified Banks,AE,---,"$209,239,695.53","25,605,213"
,2458771,ITAUSA SA - PREFERRED SHARES,ITSA4,0.12%,Diversified Banks,BR,---,"$207,349,494.05","82,014,639"
,2945422,WEG SA,WEGE3,0.12%,Electrical Components & Equipment,BR,---,"$203,146,161.05","20,989,272"
,6531827,Geely Automobile Holdings Ltd,175,0.11%,Automobile Manufacturers,HK,---,"$197,684,321.29","88,281,743"
,6294896,HCL Technologies Ltd,HCLT,0.11%,IT Consulting & Other Services,IN,---,"$196,516,050.27","14,292,258"
,BJTCKZ4,PharmaEssentia Corp,6446,0.11%,Biotechnology,TW,---,"$195,990,675.78","4,459,063.954"
,6574457,MPI Corp,6223,0.11%,Semiconductor Materials & Equipment,TW,---,"$195,895,803.83","1,212,593"
