Holdings details

FTSE Developed Markets ETF (VEA)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,6596785,Mitsubishi Corp,8058,0.28%,Trading Companies & Distributors,JP,---,"$929,840,441.35","31,029,554"
,3134865,Barclays PLC,BARC,0.27%,Diversified Banks,GB,---,"$886,871,212.55","133,725,987"
,6513126,Tokio Marine Holdings Inc,8766,0.27%,Property & Casualty Insurance,JP,---,"$880,204,544.70","18,331,361"
,0870612,Lloyds Banking Group PLC,LLOY,0.26%,Diversified Banks,GB,---,"$846,057,953.88","573,858,680"
,BPCPYT4,Brookfield Corp,BN,0.26%,Asset Management & Custody Banks,CA,---,"$844,615,472.02","20,507,968"
,5889505,Infineon Technologies AG,IFX,0.25%,Semiconductors,DE,---,"$833,822,617.19","12,791,226"
,6624608,National Australia Bank Ltd,NAB,0.25%,Diversified Banks,AU,---,"$828,573,636.57","30,021,439"
,6076146,Westpac Banking Corp,WBC,0.25%,Diversified Banks,AU,---,"$827,321,836.36","33,476,699"
,6467803,ITOCHU Corp,8001,0.25%,Trading Companies & Distributors,JP,---,"$811,228,573.10","61,505,595"
,7144569,Enel SpA,ENEL,0.25%,Electric Utilities,IT,---,"$807,411,913.56","73,834,950"
,BMBQR09,Canadian Pacific Kansas City Ltd,CP,0.25%,Rail Transportation,CA,---,"$806,028,612.63","8,700,953"
,6332439,Fast Retailing Co Ltd,9983,0.24%,Apparel Retail,JP,---,"$805,492,640.26","1,785,232"
,7088429,AXA SA,CS,0.24%,Multi-line Insurance,FR,---,"$795,822,057.84","15,938,495"
,B4T3BW6,Glencore PLC,GLEN,0.24%,Diversified Metals & Mining,GB,---,"$792,534,001.03","99,315,204"
,0263494,BAE Systems PLC,BA/,0.24%,Aerospace & Defense,GB,---,"$788,811,117.85","28,751,263"
,6065586,ANZ Group Holdings Ltd,ANZ,0.24%,Diversified Banks,AU,---,"$786,911,053.74","29,573,328"
,B0F9V20,Oversea-Chinese Banking Corp Ltd,OCBC,0.24%,Diversified Banks,SG,---,"$783,001,529.97","31,640,031"
,B3NB1P2,Suncor Energy Inc,SU,0.24%,Integrated Oil & Gas,CA,---,"$779,104,821.23","11,644,563"
,6597067,Mitsubishi Heavy Industries Ltd,7011,0.24%,Industrial Machinery & Supplies & Components,JP,---,"$778,390,461.42","32,121,790"
,BDR05C0,National Grid PLC,NG/,0.23%,Multi-Utilities,GB,---,"$767,864,983.10","48,673,031"
